✅ Loaded 8091 valid samples
Epoch 2 | Batch 1540 | Loss: 0.3002
Epoch 2 | Batch 1550 | Loss: 0.6173
Epoch 2 | Batch 1560 | Loss: 0.5634
Epoch 2 | Batch 1570 | Loss: 0.6362
Epoch 2 | Batch 1580 | Loss: 0.3876
Epoch 2 | Batch 1590 | Loss: 0.4887
Epoch 2 | Batch 1600 | Loss: 0.3192
Epoch 2 | Batch 1610 | Loss: 0.3355
Epoch 2 | Batch 1620 | Loss: 0.3998
Epoch 2 | Batch 1630 | Loss: 0.4395
Epoch 2 | Batch 1640 | Loss: 0.2688
Epoch 2 | Batch 1650 | Loss: 0.5262
Epoch 2 | Batch 1660 | Loss: 0.3904
Epoch 2 | Batch 1670 | Loss: 0.3095
Epoch 2 | Batch 1680 | Loss: 0.5562
Epoch 2 | Batch 1690 | Loss: 0.3694
Epoch 2 | Batch 1700 | Loss: 0.4990
Epoch 2 | Batch 1710 | Loss: 0.2918
Epoch 2 | Batch 1720 | Loss: 0.5213
Epoch 2 | Batch 1730 | Loss: 0.4124
Epoch 2 | Batch 1740 | Loss: 0.5318
Epoch 2 | Batch 1750 | Loss: 0.5703
Epoch 2 | Batch 1760 | Loss: 0.6008
Epoch 2 | Batch 1770 | Loss: 0.2731
Epoch 2 | Batch 1780 | Loss: 0.3577
Epoch 2 | Batch 1790 | Loss: 0.7069
Epoch 2 | Batch 1800 | Loss: 0.4958
Epoch 2 | Batch 1810 | Loss: 0.3371
Epoch 2 | Batch 1820 | Loss: 0.3093
Epoch 2 | Batch 1830 | Loss: 0.6125
Epoch 2 | Batch 1840 | Loss: 0.2764
Epoch 2 | Batch 1850 | Loss: 0.5809
Epoch 2 | Batch 1860 | Loss: 0.3373
Epoch 2 | Batch 1870 | Loss: 0.5775
Epoch 2 | Batch 1880 | Loss: 0.2993
Epoch 2 | Batch 1890 | Loss: 0.3038
Epoch 2 | Batch 1900 | Loss: 0.4023
Epoch 2 | Batch 1910 | Loss: 0.4137
Epoch 2 | Batch 1920 | Loss: 0.3204
Epoch 2 | Batch 1930 | Loss: 0.4359
Epoch 2 | Batch 1940 | Loss: 0.5739
Epoch 2 | Batch 1950 | Loss: 0.4096
Epoch 2 | Batch 1960 | Loss: 0.3961
Epoch 2 | Batch 1970 | Loss: 0.4470
Epoch 2 | Batch 1980 | Loss: 0.4471
